ConfiguracionClientes,Repeticion,ID_Hilo,TipoOperacion,TiempoRespuesta (Nano Sec),Exitoso
50,1,Bot_0,LOGIN,2505900,true
50,1,Bot_0,HIT,69064300,true
50,1,Bot_0,HIT,3603200,true
50,1,Bot_0,HIT,1357000,true
50,1,Bot_0,HIT,561600,true
50,1,Bot_0,HIT,527200,true
50,1,Bot_0,HIT,1453400,true
50,1,Bot_0,HIT,623000,true
50,1,Bot_0,HIT,655300,true
50,1,Bot_0,HIT,977100,true
50,1,Bot_0,HIT,805200,true
50,1,Bot_1,LOGIN,2540100,true
50,1,Bot_1,HIT,69057900,true
50,1,Bot_1,HIT,4342100,true
50,1,Bot_1,HIT,1109700,true
50,1,Bot_1,HIT,797400,true
50,1,Bot_1,HIT,1039900,true
50,1,Bot_1,HIT,1194800,true
50,1,Bot_1,HIT,1816500,true
50,1,Bot_1,HIT,609300,true
50,1,Bot_1,HIT,734800,true
50,1,Bot_1,HIT,1526300,true
50,1,Bot_2,LOGIN,3698700,true
50,1,Bot_2,HIT,67462100,true
50,1,Bot_2,HIT,2289200,true
50,1,Bot_2,HIT,616800,true
50,1,Bot_2,HIT,1000100,true
50,1,Bot_2,HIT,458800,true
50,1,Bot_2,HIT,1096900,true
50,1,Bot_2,HIT,1608800,true
50,1,Bot_2,HIT,627700,true
50,1,Bot_2,HIT,1131400,true
50,1,Bot_2,HIT,711200,true
50,1,Bot_3,LOGIN,3321400,true
50,1,Bot_3,HIT,67175500,true
50,1,Bot_3,HIT,5325300,true
50,1,Bot_3,HIT,1859800,true
50,1,Bot_3,HIT,767900,true
50,1,Bot_3,HIT,902800,true
50,1,Bot_3,HIT,1535800,true
50,1,Bot_3,HIT,1614600,true
50,1,Bot_3,HIT,1392300,true
50,1,Bot_3,HIT,1884500,true
50,1,Bot_3,HIT,1479900,true
50,1,Bot_4,LOGIN,2950000,true
50,1,Bot_4,HIT,66595300,true
50,1,Bot_4,HIT,4227900,true
50,1,Bot_4,HIT,1463700,true
50,1,Bot_4,HIT,1452900,true
